"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-103.65","50.55","INDIAN HEAD CDA","4013480","2018-01-01","2018","01","01","","-19.7","","-32.1","","-25.9","","43.9","","0.0","","","M","","M","0.0","","","","20","","33",""
"-103.65","50.55","INDIAN HEAD CDA","4013480","2018-01-02","2018","01","02","","-8.2","","-23.5","","-15.9","","33.9","","0.0","","","M","","M","0.0","","","","32","","63",""
"-103.65","50.55","INDIAN HEAD CDA","4013480","2018-01-03","2018","01","03","","-9.6","","-25.2","","-17.4","","35.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-103.65","50.55","INDIAN HEAD CDA","4013480","2018-01-04","2018","01","04","","-11.3","","-14.0","","-12.7","","30.7","","0.0","","","M","","M","0.2","","0","T","","","<31",""
"-103.65","50.55","INDIAN HEAD CDA","4013480","2018-01-05","2018","01","05","","-10.6","","-14.5","","-12.6","","30.6","","0.0","","","M","","M","0.2","","0","T","17","","44",""
"-103.65","50.55","INDIAN HEAD CDA","4013480","2018-01-06","2018","01","06","","-1.0","","-10.8","","-5.9","","23.9","","0.0","","","M","","M","0.0","","0","T","19","","59",""
"-103.65","50.55","INDIAN HEAD CDA","4013480","2018-01-07","2018","01","07","","1.5","","-8.5","","-3.5","","21.5","","0.0","","","M","","M","0.0","","0","T","28","","52",""
"-103.65","50.55","INDIAN HEAD CDA","4013480","2018-01-08","2018","01","08","","-4.5","","-12.7","","-8.6","","26.6","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-103.65","50.55","INDIAN HEAD CDA","4013480","2018-01-09","2018","01","09","","1.1","","-12.0","","-5.5","","23.5","","0.0","","","M","","M","1.2","","0","T","30","","52",""
"-103.65","50.55","INDIAN HEAD CDA","4013480","2018-01-10","2018","01","10","","-2.1","","-24.7","","-13.4","","31.4","","0.0","","","M","","M","0.2","","0","T","30","","57",""
"-103.65","50.55","INDIAN HEAD CDA","4013480","2018-01-11","2018","01","11","","-22.7","","-30.3","","-26.5","","44.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-103.65","50.55","INDIAN HEAD CDA","4013480","2018-01-12","2018","01","12","","-20.7","","-31.8","","-26.3","","44.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-103.65","50.55","INDIAN HEAD CDA","4013480","2018-01-13","2018","01","13","","-12.9","","-29.5","","-21.2","","39.2","","0.0","","","M","","M","0.2","","","","24","","32",""
"-103.65","50.55","INDIAN HEAD CDA","4013480","2018-01-14","2018","01","14","","-9.0","","-24.1","","-16.6","","34.6","","0.0","","","M","","M","0.0","","","","34","","50",""
"-103.65","50.55","INDIAN HEAD CDA","4013480","2018-01-15","2018","01","15","","-18.7","","-31.5","","-25.1","","43.1","","0.0","","","M","","M","0.0","","","","20","","33",""
"-103.65","50.55","INDIAN HEAD CDA","4013480","2018-01-16","2018","01","16","","-9.6","","-22.5","","-16.1","","34.1","","0.0","","","M","","M","0.0","","","","19","","61",""
"-103.65","50.55","INDIAN HEAD CDA","4013480","2018-01-17","2018","01","17","","3.7","","-12.6","","-4.5","","22.5","","0.0","","","M","","M","0.0","","0","T","28","","63",""
"-103.65","50.55","INDIAN HEAD CDA","4013480","2018-01-18","2018","01","18","","4.5","","-8.6","","-2.1","","20.1","","0.0","","","M","","M","0.0","","0","T","25","","44",""
"-103.65","50.55","INDIAN HEAD CDA","4013480","2018-01-19","2018","01","19","","4.0","","-5.6","","-0.8","","18.8","","0.0","","","M","","M","0.0","","0","T","25","","39",""
"-103.65","50.55","INDIAN HEAD CDA","4013480","2018-01-20","2018","01","20","","1.8","","-10.2","","-4.2","","22.2","","0.0","","","M","","M","0.0","","0","T","28","","33",""
"-103.65","50.55","INDIAN HEAD CDA","4013480","2018-01-21","2018","01","21","","-2.9","","-13.7","","-8.3","","26.3","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-103.65","50.55","INDIAN HEAD CDA","4013480","2018-01-22","2018","01","22","","-4.8","","-15.2","","-10.0","","28.0","","0.0","","","M","","M","0.0","","0","T","19","","43",""
"-103.65","50.55","INDIAN HEAD CDA","4013480","2018-01-23","2018","01","23","","-4.7","","-9.2","","-7.0","","25.0","","0.0","","","M","","M","0.0","","0","T","31","","41",""
"-103.65","50.55","INDIAN HEAD CDA","4013480","2018-01-24","2018","01","24","","-5.4","","-10.6","","-8.0","","26.0","","0.0","","","M","","M","0.0","","0","T","","","<31",""
